readout,cluster_id,effect_size,auroc,bootstrap_low,bootstrap_high,promoted
rolling_vol_mean,3,4.538851560366671,1.0,4.124041310309421,5.035832538456618,True
rolling_vol_std,3,4.44359472605556,1.0,4.024217000894739,4.974244313255201,True
autocorr_lag1,3,3.612910517587003,0.99905,3.3365633737387643,3.911205881279201,True
high_frequency_energy,3,3.0452628538586914,1.0,2.752139987791254,3.432463264151137,True
max_drawdown_proxy,3,2.5079403148776422,0.9770749999999999,2.2799619614994246,2.795056170041402,True
std,1,1.8965914565197086,0.9166,1.6834347283075073,2.1409481146542118,True
turning_rate,3,1.8398131115612388,0.901175,1.6166694189553847,2.0810129590799016,True
variance,1,1.794435765303852,0.9166,1.6083210033487167,2.0274277824588594,True
kurtosis_proxy,3,1.6829085883503045,0.9614499999999999,1.4617655981061901,2.0156194654298023,True
autocorr_lag5,3,1.3216360962973017,0.82855,1.1052731368958688,1.5584035765141797,True
low_frequency_energy,1,0.5424599501203811,0.6509749999999999,0.355084077820949,0.7346688781252274,False
skew_proxy,2,0.16697730111639203,0.560225,-0.04206013350811173,0.34065088380667713,False
mean,0,1.845270671949194e-06,0.515025,-2.463360802480842e-06,6.186585692395932e-06,False
